"endpoint_type","role_family","family_label","expected_test_count","observed_valid_test_count","capture_area_id","program_id","raw_p","BH_FDR","evaluability","exclusion_failure_reason"
"MATCHED_NULL_GEARY","PRIMARY_DLBCL","06P_MATCHED_NULL_GEARY_PRIMARY_DLBCL_BH",26,26,"GSM8500539_Cap.area6_DLBCL_V2","macrophage_rich",0.000999000999000999,0.00185528756957328,"EVALUABLE",""
"MATCHED_NULL_GEARY","PRIMARY_DLBCL","06P_MATCHED_NULL_GEARY_PRIMARY_DLBCL_BH",26,26,"GSM8500539_Cap.area6_DLBCL_V2","t_cell_inflamed",0.017982017982018,0.025974025974026,"EVALUABLE",""
"MATCHED_NULL_GEARY","PRIMARY_DLBCL","06P_MATCHED_NULL_GEARY_PRIMARY_DLBCL_BH",26,26,"GSM8500539_Cap.area6_DLBCL_V2","stromal_fibrotic",0.000999000999000999,0.00185528756957328,"EVALUABLE",""
"MATCHED_NULL_GEARY","PRIMARY_DLBCL","06P_MATCHED_NULL_GEARY_PRIMARY_DLBCL_BH",26,26,"GSM8500539_Cap.area6_DLBCL_V2","immune_cold_exclusion",0.000999000999000999,0.00185528756957328,"EVALUABLE",""
"MATCHED_NULL_GEARY","PRIMARY_DLBCL","06P_MATCHED_NULL_GEARY_PRIMARY_DLBCL_BH",26,26,"GSM8500539_Cap.area6_DLBCL_V2","proliferative_cycling",0.000999000999000999,0.00185528756957328,"EVALUABLE",""
"MATCHED_NULL_GEARY","PRIMARY_DLBCL","06P_MATCHED_NULL_GEARY_PRIMARY_DLBCL_BH",26,26,"GSM8500540_Cap.area7_DLBCL_V2","macrophage_rich",0.000999000999000999,0.00185528756957328,"EVALUABLE",""
"MATCHED_NULL_GEARY","PRIMARY_DLBCL","06P_MATCHED_NULL_GEARY_PRIMARY_DLBCL_BH",26,26,"GSM8500540_Cap.area7_DLBCL_V2","t_cell_inflamed",0.000999000999000999,0.00185528756957328,"EVALUABLE",""
"MATCHED_NULL_GEARY","PRIMARY_DLBCL","06P_MATCHED_NULL_GEARY_PRIMARY_DLBCL_BH",26,26,"GSM8500540_Cap.area7_DLBCL_V2","stromal_fibrotic",0.0599400599400599,0.0708382526564345,"EVALUABLE",""
"MATCHED_NULL_GEARY","PRIMARY_DLBCL","06P_MATCHED_NULL_GEARY_PRIMARY_DLBCL_BH",26,26,"GSM8500540_Cap.area7_DLBCL_V2","immune_cold_exclusion",0.124875124875125,0.141163184641446,"EVALUABLE",""
"MATCHED_NULL_GEARY","PRIMARY_DLBCL","06P_MATCHED_NULL_GEARY_PRIMARY_DLBCL_BH",26,26,"GSM8500540_Cap.area7_DLBCL_V2","proliferative_cycling",0.036963036963037,0.0457637600494743,"EVALUABLE",""
"MATCHED_NULL_GEARY","EXPLORATORY_ANTIGEN","06P_MATCHED_NULL_GEARY_EXPLORATORY_ANTIGEN_BH",6,6,"GSM8500537_Cap.area4_DLBCL_V2","antigen_presentation",0.041958041958042,0.0503496503496504,"EVALUABLE",""
"MATCHED_NULL_GEARY","EXPLORATORY_ANTIGEN","06P_MATCHED_NULL_GEARY_EXPLORATORY_ANTIGEN_BH",6,6,"GSM8500538_Cap.area5_DLBCL_V2","antigen_presentation",0.000999000999000999,0.00599400599400599,"EVALUABLE",""
"MATCHED_NULL_GEARY","EXPLORATORY_ANTIGEN","06P_MATCHED_NULL_GEARY_EXPLORATORY_ANTIGEN_BH",6,6,"GSM8500539_Cap.area6_DLBCL_V2","antigen_presentation",0.003996003996004,0.011988011988012,"EVALUABLE",""
"MATCHED_NULL_GEARY","EXPLORATORY_ANTIGEN","06P_MATCHED_NULL_GEARY_EXPLORATORY_ANTIGEN_BH",6,6,"GSM8500540_Cap.area7_DLBCL_V2","antigen_presentation",0.015984015984016,0.031968031968032,"EVALUABLE",""
